2001/7/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),Star Wars (1977),Shichinin no samurai (1954),American Beauty (1999),One Flew Over the Cuckoo's Nest (1975),
2001/8/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),Star Wars (1977),Shichinin no samurai (1954),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2001/9/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),Star Wars (1977),Shichinin no samurai (1954),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2001/10/1,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),The Godfather: Part II (1974),Star Wars (1977),Shichinin no samurai (1954),Memento (2000),One Flew Over the Cuckoo's Nest (1975),
2001/11/3,The Godfather (1972),The Shawshank Redemption (1994),Schindler's List (1993),Citizen Kane (1941),The Godfather: Part II (1974),Casablanca (1942),Star Wars (1977),Shichinin no samurai (1954),Memento (2000),One Flew Over the Cuckoo's Nest (1975),
2001/12/1,The Godfather (1972),The Shawshank Redemption (1994),Citizen Kane (1941),Schindler's List (1993),The Godfather: Part II (1974),Casablanca (1942),Star Wars (1977),Shichinin no samurai (1954),Memento (2000),One Flew Over the Cuckoo's Nest (1975),
2002/1/1,The Lord of the Rings: The Fellowship of the Ring (2001),The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),Star Wars (1977),Shichinin no samurai (1954),Memento (2000),
2002/2/1,The Godfather (1972),The Lord of the Rings: The Fellowship of the Ring (2001),The Shawshank Redemption (1994),The Godfather: Part II (1974),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2002/3/1,The Godfather (1972),The Lord of the Rings: The Fellowship of the Ring (2001),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2002/4/1,The Godfather (1972),The Shawshank Redemption (1994),The Lord of the Rings: The Fellowship of the Ring (2001),The Godfather: Part II (1974),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2002/5/1,The Godfather (1972),The Shawshank Redemption (1994),The Lord of the Rings: The Fellowship of the Ring (2001),The Godfather: Part II (1974),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2002/6/1,The Godfather (1972),The Shawshank Redemption (1994),The Lord of the Rings: The Fellowship of the Ring (2001),The Godfather: Part II (1974),Citizen Kane (1941),Shichinin no samurai (1954),Schindler's List (1993),Casablanca (1942),Star Wars (1977),Le fabuleux destin d'Amélie Poulain (2001),
2002/7/1,The Godfather (1972),The Shawshank Redemption (1994),The Lord of the Rings: The Fellowship of the Ring (2001),The Godfather: Part II (1974),Citizen Kane (1941),Shichinin no samurai (1954),Schindler's List (1993),Casablanca (1942),Star Wars (1977),Le fabuleux destin d'Amélie Poulain (2001),
2002/8/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2002/9/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2002/10/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2002/11/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Citizen Kane (1941),Schindler's List (1993),The Lord of the Rings: The Fellowship of the Ring (2001),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2002/12/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Citizen Kane (1941),Schindler's List (1993),The Lord of the Rings: The Fellowship of the Ring (2001),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2003/1/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Schindler's List (1993),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2003/2/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Fellowship of the Ring (2001),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2003/3/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),The Lord of the Rings: The Fellowship of the Ring (2001),Casablanca (1942),Citizen Kane (1941),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2003/4/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2003/5/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Fellowship of the Ring (2001),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),Shichinin no samurai (1954),Star Wars (1977),Memento (2000),
2003/6/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Fellowship of the Ring (2001),Schindler's List (1993),Citizen Kane (1941),Casablanca (1942),Shichinin no samurai (1954),Star Wars (1977),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
2003/7/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),The Lord of the Rings: The Fellowship of the Ring (2001),Casablanca (1942),Citizen Kane (1941),Shichinin no samurai (1954),Star Wars (1977),The Lord of the Rings: The Two Towers (2002),
2003/8/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),Casablanca (1942),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Shichinin no samurai (1954),Star Wars (1977),The Lord of the Rings: The Two Towers (2002),
2003/9/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),Casablanca (1942),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Shichinin no samurai (1954),Star Wars (1977),The Lord of the Rings: The Two Towers (2002),
2003/10/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),Casablanca (1942),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),The Lord of the Rings: The Two Towers (2002),Shichinin no samurai (1954),Star Wars (1977),
2003/11/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),Schindler's List (1993),Casablanca (1942),The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Fellowship of the Ring (2001),Shichinin no samurai (1954),Citizen Kane (1941),Star Wars (1977),
2003/12/1,The Godfather (1972),The Shawshank Redemption (1994),The Godfather: Part II (1974),The Lord of the Rings: The Two Towers (2002),Casablanca (1942),Schindler's List (1993),Shichinin no samurai (1954),The Lord of the Rings: The Fellowship of the Ring (2001),Citizen Kane (1941),Star Wars (1977),
